Layer Name,Layer Num,Submodule,Type,Time (ms),OPs,Mem Delta (MB),Abs Mem (MB),Input Shape
model.layers.0.self_attn.q_proj,0,q_proj,AutoBitLinear,3001.7167270016216,39321600,138.125,10053.4453125,"[1, 3, 2560]"
model.layers.0.self_attn.k_proj,0,k_proj,AutoBitLinear,26.633272998878965,9830400,0.125,10053.5703125,"[1, 3, 2560]"
model.layers.0.self_attn.v_proj,0,v_proj,AutoBitLinear,0.5461119981191587,9830400,0.0,10053.5703125,"[1, 3, 2560]"
model.layers.0.self_attn.o_proj,0,o_proj,AutoBitLinear,2.6034809998236597,39321600,6.25,10061.3203125,"[1, 3, 2560]"
model.layers.0.mlp.gate_proj,0,gate_proj,AutoBitLinear,38.3481649987516,106168320,0.00390625,10061.32421875,"[1, 3, 2560]"
model.layers.0.mlp.up_proj,0,up_proj,AutoBitLinear,10.453950002556667,106168320,0.30859375,10061.6328125,"[1, 3, 2560]"
model.layers.0.mlp.down_proj,0,down_proj,AutoBitLinear,102.96959300103481,106168320,1.4453125,10063.078125,"[1, 3, 6912]"
model.layers.1.self_attn.q_proj,1,q_proj,AutoBitLinear,2.7607379997789394,39321600,0.0,10063.078125,"[1, 3, 2560]"
model.layers.1.self_attn.k_proj,1,k_proj,AutoBitLinear,0.44466100007412024,9830400,0.0,10063.078125,"[1, 3, 2560]"
model.layers.1.self_attn.v_proj,1,v_proj,AutoBitLinear,0.3669930010801181,9830400,0.0,10063.078125,"[1, 3, 2560]"
model.layers.1.self_attn.o_proj,1,o_proj,AutoBitLinear,2.648497000336647,39321600,0.0,10063.078125,"[1, 3, 2560]"
model.layers.1.mlp.gate_proj,1,gate_proj,AutoBitLinear,10.397092999482993,106168320,0.3125,10063.390625,"[1, 3, 2560]"
model.layers.1.mlp.up_proj,1,up_proj,AutoBitLinear,10.502111003006576,106168320,0.0,10063.09375,"[1, 3, 2560]"
model.layers.1.mlp.down_proj,1,down_proj,AutoBitLinear,10.437780001666397,106168320,0.30859375,10063.40234375,"[1, 3, 6912]"
model.layers.2.self_attn.q_proj,2,q_proj,AutoBitLinear,3.499403999740025,39321600,0.0,10063.40234375,"[1, 3, 2560]"
model.layers.2.self_attn.k_proj,2,k_proj,AutoBitLinear,0.5543379993468989,9830400,0.0,10063.40234375,"[1, 3, 2560]"
model.layers.2.self_attn.v_proj,2,v_proj,AutoBitLinear,0.39281299905269407,9830400,0.0,10063.40234375,"[1, 3, 2560]"
model.layers.2.self_attn.o_proj,2,o_proj,AutoBitLinear,2.2664540010737255,39321600,0.0,10063.40234375,"[1, 3, 2560]"
model.layers.2.mlp.gate_proj,2,gate_proj,AutoBitLinear,11.403445001633372,106168320,0.0,10063.0859375,"[1, 3, 2560]"
model.layers.2.mlp.up_proj,2,up_proj,AutoBitLinear,9.713169998576632,106168320,0.3671875,10063.453125,"[1, 3, 2560]"
model.layers.2.mlp.down_proj,2,down_proj,AutoBitLinear,10.23280200024601,106168320,0.0,10063.13671875,"[1, 3, 6912]"
model.layers.3.self_attn.q_proj,3,q_proj,AutoBitLinear,5.973801999061834,39321600,0.0,10063.13671875,"[1, 3, 2560]"
model.layers.3.self_attn.k_proj,3,k_proj,AutoBitLinear,1.3587680005002767,9830400,0.0,10063.13671875,"[1, 3, 2560]"
model.layers.3.self_attn.v_proj,3,v_proj,AutoBitLinear,1.0953099990729243,9830400,0.0,10063.13671875,"[1, 3, 2560]"
model.layers.3.self_attn.o_proj,3,o_proj,AutoBitLinear,5.031581000366714,39321600,0.0,10063.13671875,"[1, 3, 2560]"
model.layers.3.mlp.gate_proj,3,gate_proj,AutoBitLinear,18.04496800104971,106168320,0.30859375,10063.4453125,"[1, 3, 2560]"
model.layers.3.mlp.up_proj,3,up_proj,AutoBitLinear,16.36191699799383,106168320,0.0,10063.12890625,"[1, 3, 2560]"
