Layer Name,Type,Input Shape,Time (ms),Mem Delta (MB),Abs Mem (MB),OPs,Category,ShortName
model.layers.0.self_attn.q_proj,Linear,"[1, 3, 2560]",19.991047000075923,0.0,5386.16015625,39321600,Attention,q_proj
model.layers.0.self_attn.k_proj,Linear,"[1, 3, 2560]",7.4351690000185044,0.0,5386.16015625,9830400,Attention,k_proj
model.layers.0.self_attn.v_proj,Linear,"[1, 3, 2560]",4.330297000024075,0.0,5386.16015625,9830400,Attention,v_proj
model.layers.0.self_attn.o_proj,Linear,"[1, 3, 2560]",15.38997400007247,0.0,5386.16015625,39321600,Attention,o_proj
model.layers.0.mlp.gate_proj,Linear,"[1, 3, 2560]",40.26278500009539,-0.22265625,5385.9375,106168320,MLP,gate_proj
model.layers.0.mlp.up_proj,Linear,"[1, 3, 2560]",41.24383399994258,0.0,5385.9375,106168320,MLP,up_proj
model.layers.0.mlp.down_proj,Linear,"[1, 3, 6912]",42.232266000155505,0.08984375,5386.02734375,106168320,MLP,down_proj
model.layers.1.self_attn.q_proj,Linear,"[1, 3, 2560]",16.785634999905596,0.0,5386.02734375,39321600,Attention,q_proj
model.layers.1.self_attn.k_proj,Linear,"[1, 3, 2560]",4.693631999998615,0.0,5386.02734375,9830400,Attention,k_proj
model.layers.1.self_attn.v_proj,Linear,"[1, 3, 2560]",4.447474000016882,0.0,5386.02734375,9830400,Attention,v_proj
model.layers.1.self_attn.o_proj,Linear,"[1, 3, 2560]",11.685457000112365,0.0,5386.02734375,39321600,Attention,o_proj
model.layers.1.mlp.gate_proj,Linear,"[1, 3, 2560]",34.42393499994978,-0.37890625,5385.6484375,106168320,MLP,gate_proj
model.layers.1.mlp.up_proj,Linear,"[1, 3, 2560]",36.25028199985536,0.40234375,5386.05078125,106168320,MLP,up_proj
model.layers.1.mlp.down_proj,Linear,"[1, 3, 6912]",26.410746000010477,-0.22265625,5385.828125,106168320,MLP,down_proj
model.layers.2.self_attn.q_proj,Linear,"[1, 3, 2560]",11.53045299997757,0.0,5385.828125,39321600,Attention,q_proj
model.layers.2.self_attn.k_proj,Linear,"[1, 3, 2560]",4.663325000137775,0.0,5385.828125,9830400,Attention,k_proj
model.layers.2.self_attn.v_proj,Linear,"[1, 3, 2560]",5.527445000097941,0.0,5385.828125,9830400,Attention,v_proj
model.layers.2.self_attn.o_proj,Linear,"[1, 3, 2560]",10.435302000132651,0.0,5385.828125,39321600,Attention,o_proj
model.layers.2.mlp.gate_proj,Linear,"[1, 3, 2560]",40.20156499996119,0.08984375,5385.91796875,106168320,MLP,gate_proj
model.layers.2.mlp.up_proj,Linear,"[1, 3, 2560]",41.04016899987073,0.08984375,5386.0078125,106168320,MLP,up_proj
model.layers.2.mlp.down_proj,Linear,"[1, 3, 6912]",37.59797099996831,-0.37890625,5385.62890625,106168320,MLP,down_proj
model.layers.3.self_attn.q_proj,Linear,"[1, 3, 2560]",13.734364999891113,0.0,5385.62890625,39321600,Attention,q_proj
model.layers.3.self_attn.k_proj,Linear,"[1, 3, 2560]",5.987531000073432,0.0,5385.62890625,9830400,Attention,k_proj
model.layers.3.self_attn.v_proj,Linear,"[1, 3, 2560]",7.478405000028943,0.0,5385.62890625,9830400,Attention,v_proj
model.layers.3.self_attn.o_proj,Linear,"[1, 3, 2560]",16.792438999800652,0.0,5385.62890625,39321600,Attention,o_proj
model.layers.3.mlp.gate_proj,Linear,"[1, 3, 2560]",45.13287500003571,0.40234375,5386.03125,106168320,MLP,gate_proj
model.layers.3.mlp.up_proj,Linear,"[1, 3, 2560]",33.250756000143156,-0.06640625,5385.96484375,106168320,MLP,up_proj
model.layers.3.mlp.down_proj,Linear,"[1, 3, 6912]",39.211797999996634,-0.06640625,5385.8984375,106168320,MLP,down_proj
model.layers.4.self_attn.q_proj,Linear,"[1, 3, 2560]",18.665388000044913,0.0,5385.8984375,39321600,Attention,q_proj
model.layers.4.self_attn.k_proj,Linear,"[1, 3, 2560]",4.2679420000695245,0.0,5385.8984375,9830400,Attention,k_proj
model.layers.4.self_attn.v_proj,Linear,"[1, 3, 2560]",4.591197999843644,0.0,5385.8984375,9830400,Attention,v_proj
model.layers.4.self_attn.o_proj,Linear,"[1, 3, 2560]",10.04400900001201,0.0,5385.8984375,39321600,Attention,o_proj
model.layers.4.mlp.gate_proj,Linear,"[1, 3, 2560]",28.85806600011165,0.09375,5385.9921875,106168320,MLP,gate_proj
model.layers.4.mlp.up_proj,Linear,"[1, 3, 2560]",32.5002949998634,-0.37890625,5385.61328125,106168320,MLP,up_proj
model.layers.4.mlp.down_proj,Linear,"[1, 3, 6912]",33.40490300001875,0.40234375,5386.015625,106168320,MLP,down_proj
model.layers.5.self_attn.q_proj,Linear,"[1, 3, 2560]",5.567495999912353,0.0,5386.015625,39321600,Attention,q_proj
model.layers.5.self_attn.k_proj,Linear,"[1, 3, 2560]",3.399540999907913,0.0,5386.015625,9830400,Attention,k_proj
model.layers.5.self_attn.v_proj,Linear,"[1, 3, 2560]",2.0528659999854426,0.0,5386.015625,9830400,Attention,v_proj
model.layers.5.self_attn.o_proj,Linear,"[1, 3, 2560]",8.293097999967358,0.0,5386.015625,39321600,Attention,o_proj
model.layers.5.mlp.gate_proj,Linear,"[1, 3, 2560]",30.517906999875777,-0.06640625,5385.94921875,106168320,MLP,gate_proj
model.layers.5.mlp.up_proj,Linear,"[1, 3, 2560]",33.224422999865055,-0.06640625,5385.8828125,106168320,MLP,up_proj
model.layers.5.mlp.down_proj,Linear,"[1, 3, 6912]",31.783383999936632,0.08984375,5385.97265625,106168320,MLP,down_proj
model.layers.6.self_attn.q_proj,Linear,"[1, 3, 2560]",8.046021999916775,0.0,5385.97265625,39321600,Attention,q_proj
model.layers.6.self_attn.k_proj,Linear,"[1, 3, 2560]",2.3442950000571727,0.0,5385.97265625,9830400,Attention,k_proj
model.layers.6.self_attn.v_proj,Linear,"[1, 3, 2560]",2.7567659999476746,0.0,5385.97265625,9830400,Attention,v_proj
model.layers.6.self_attn.o_proj,Linear,"[1, 3, 2560]",8.454471000050034,0.0,5385.97265625,39321600,Attention,o_proj
model.layers.6.mlp.gate_proj,Linear,"[1, 3, 2560]",29.848145999949338,-0.22265625,5385.75,106168320,MLP,gate_proj
model.layers.6.mlp.up_proj,Linear,"[1, 3, 2560]",24.760965999803375,0.24609375,5385.99609375,106168320,MLP,up_proj
model.layers.6.mlp.down_proj,Linear,"[1, 3, 6912]",31.229448999965825,-0.06640625,5385.9296875,106168320,MLP,down_proj
model.layers.7.self_attn.q_proj,Linear,"[1, 3, 2560]",15.084908000062569,0.0,5385.9296875,39321600,Attention,q_proj
model.layers.7.self_attn.k_proj,Linear,"[1, 3, 2560]",4.391698000063116,0.0,5385.9296875,9830400,Attention,k_proj
model.layers.7.self_attn.v_proj,Linear,"[1, 3, 2560]",4.249407000088468,0.0,5385.9296875,9830400,Attention,v_proj
model.layers.7.self_attn.o_proj,Linear,"[1, 3, 2560]",12.741193000010753,0.0,5385.9296875,39321600,Attention,o_proj
model.layers.7.mlp.gate_proj,Linear,"[1, 3, 2560]",29.6379110000089,-0.06640625,5385.86328125,106168320,MLP,gate_proj
model.layers.7.mlp.up_proj,Linear,"[1, 3, 2560]",24.777541000048586,0.08984375,5385.953125,106168320,MLP,up_proj
model.layers.7.mlp.down_proj,Linear,"[1, 3, 6912]",20.558244000085324,-0.22265625,5385.73046875,106168320,MLP,down_proj
model.layers.8.self_attn.q_proj,Linear,"[1, 3, 2560]",8.120073000100092,0.0,5385.73046875,39321600,Attention,q_proj
model.layers.8.self_attn.k_proj,Linear,"[1, 3, 2560]",3.0512950002048456,0.0,5385.73046875,9830400,Attention,k_proj
model.layers.8.self_attn.v_proj,Linear,"[1, 3, 2560]",3.259409000065716,0.0,5385.73046875,9830400,Attention,v_proj
model.layers.8.self_attn.o_proj,Linear,"[1, 3, 2560]",7.691778999969756,0.0,5385.73046875,39321600,Attention,o_proj
model.layers.8.mlp.gate_proj,Linear,"[1, 3, 2560]",18.46360499985167,0.24609375,5385.9765625,106168320,MLP,gate_proj
