Layer Name,Type,Input Shape,Time (ms),Mem Delta (MB),Abs Mem (MB),OPs,Category,ShortName
model.layers.0.input_layernorm,Norm,"[1, 3, 2560]",0.5750139998781378,0.0,5386.16015625,23040,Norm,input_layernorm
model.layers.0.self_attn.q_proj,Linear,"[1, 3, 2560]",19.991047000075923,0.0,5386.16015625,39321600,Attention,q_proj
model.layers.0.self_attn.k_proj,Linear,"[1, 3, 2560]",7.4351690000185044,0.0,5386.16015625,9830400,Attention,k_proj
model.layers.0.self_attn.v_proj,Linear,"[1, 3, 2560]",4.330297000024075,0.0,5386.16015625,9830400,Attention,v_proj
model.layers.0.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",0.8609310000338155,0.0,5386.16015625,23040,Norm,attn_sub_norm
model.layers.0.self_attn.o_proj,Linear,"[1, 3, 2560]",15.38997400007247,0.0,5386.16015625,39321600,Attention,o_proj
model.layers.0.post_attention_layernorm,Norm,"[1, 3, 2560]",0.6186059999890858,0.0,5386.16015625,23040,Norm,post_attention_layernorm
model.layers.0.mlp.gate_proj,Linear,"[1, 3, 2560]",40.26278500009539,-0.22265625,5385.9375,106168320,MLP,gate_proj
model.layers.0.mlp.act_fn,Activation,"[1, 3, 6912]",0.19952399998146575,0.0,5385.9375,41472,Activation,act_fn
model.layers.0.mlp.up_proj,Linear,"[1, 3, 2560]",41.24383399994258,0.0,5385.9375,106168320,MLP,up_proj
model.layers.0.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",0.4171160001078533,0.0,5385.9375,62208,Norm,ffn_sub_norm
model.layers.0.mlp.down_proj,Linear,"[1, 3, 6912]",42.232266000155505,0.08984375,5386.02734375,106168320,MLP,down_proj
model.layers.1.input_layernorm,Norm,"[1, 3, 2560]",0.6989820001308544,0.0,5386.02734375,23040,Norm,input_layernorm
model.layers.1.self_attn.q_proj,Linear,"[1, 3, 2560]",16.785634999905596,0.0,5386.02734375,39321600,Attention,q_proj
model.layers.1.self_attn.k_proj,Linear,"[1, 3, 2560]",4.693631999998615,0.0,5386.02734375,9830400,Attention,k_proj
model.layers.1.self_attn.v_proj,Linear,"[1, 3, 2560]",4.447474000016882,0.0,5386.02734375,9830400,Attention,v_proj
model.layers.1.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",0.6082100001094659,0.0,5386.02734375,23040,Norm,attn_sub_norm
model.layers.1.self_attn.o_proj,Linear,"[1, 3, 2560]",11.685457000112365,0.0,5386.02734375,39321600,Attention,o_proj
model.layers.1.post_attention_layernorm,Norm,"[1, 3, 2560]",0.290260000156195,0.0,5386.02734375,23040,Norm,post_attention_layernorm
model.layers.1.mlp.gate_proj,Linear,"[1, 3, 2560]",34.42393499994978,-0.37890625,5385.6484375,106168320,MLP,gate_proj
